patch_id,ndb_ufes_patch_label,ndb_ufes_patch_label_status,sab_patch_label,patch_label_agreement_status,final_validated_wsi_id,public_wsi_pseudonym
p0044,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0045,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0046,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0047,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0048,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0049,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0050,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0051,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0052,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0053,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0054,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0055,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0056,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0057,oscc,available,oscc,agrees,sab_only_wsi_0016,sab_only_wsi_0016
p0058,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0059,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0060,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0061,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0062,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0063,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0064,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0065,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0066,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0067,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0068,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0069,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0070,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0071,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0072,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0073,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0074,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0075,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0076,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0077,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0078,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0079,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0080,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0081,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0082,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0083,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0084,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0085,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0086,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0087,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0088,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0089,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0090,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0091,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0092,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0093,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0094,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0095,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0096,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0097,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0098,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0099,oscc,available,oscc,agrees,public_ndb_wsi_0010,public_ndb_wsi_0010
p0100,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0101,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0102,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0103,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0104,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0105,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0106,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0107,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0108,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0109,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0110,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0111,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0112,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0113,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0114,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0115,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0116,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0117,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0118,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0119,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0120,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0121,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0122,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0123,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0124,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0125,oscc,available,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011
p0126,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0127,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0128,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0129,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0130,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0131,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0132,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0133,oscc,available,oscc,agrees,sab_only_wsi_0023,sab_only_wsi_0023
p0134,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0135,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0136,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0137,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0138,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0139,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0140,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0141,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0142,oscc,available,oscc,agrees,public_ndb_wsi_0015,public_ndb_wsi_0015
p0143,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0144,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0145,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0146,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0147,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0148,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0149,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0150,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0151,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0152,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0153,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0154,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0155,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0156,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0157,oscc,available,oscc,agrees,public_ndb_wsi_0005,public_ndb_wsi_0005
p0158,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0159,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0160,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0161,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0162,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0163,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0164,oscc,available,oscc,agrees,sab_only_wsi_0028,sab_only_wsi_0028
p0165,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0166,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0167,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0168,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0169,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0170,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0171,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0172,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0173,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0174,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0175,oscc,available,oscc,agrees,public_ndb_wsi_0004,public_ndb_wsi_0004
p0176,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0177,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0178,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0179,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0180,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0181,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0182,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0183,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0184,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0185,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0186,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0187,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0188,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0189,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0190,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0191,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0192,oscc,available,oscc,agrees,public_ndb_wsi_0020,public_ndb_wsi_0020
p0193,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0194,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0195,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0196,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0197,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0198,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0199,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0200,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0201,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0202,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0203,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0204,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0205,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0206,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0207,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0208,oscc,available,oscc,agrees,public_ndb_wsi_0019,public_ndb_wsi_0019
p0209,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0210,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0211,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0212,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0213,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0214,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0215,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0216,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0217,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0218,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0219,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0220,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0221,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0222,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0223,oscc,available,oscc,agrees,public_ndb_wsi_0021,public_ndb_wsi_0021
p0224,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0225,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0226,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0227,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0228,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0229,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0230,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0231,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0232,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0233,oscc,available,oscc,agrees,public_ndb_wsi_0018,public_ndb_wsi_0018
p0234,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0235,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0236,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0237,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0238,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0239,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0240,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0241,oscc,available,oscc,agrees,public_ndb_wsi_0031,public_ndb_wsi_0031
p0242,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0243,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0244,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0245,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0246,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0247,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0248,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0249,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0250,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0251,oscc,available,oscc,agrees,public_ndb_wsi_0030,public_ndb_wsi_0030
p0252,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0253,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0254,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0255,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0256,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0257,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0258,oscc,available,oscc,agrees,public_ndb_wsi_0034,public_ndb_wsi_0034
p0259,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0260,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0261,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0262,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0263,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0264,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0265,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0266,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0267,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0268,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0269,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0270,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0271,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0272,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0273,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0274,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0275,oscc,available,oscc,agrees,public_ndb_wsi_0035,public_ndb_wsi_0035
p0276,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0277,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0278,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0279,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0280,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0281,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0282,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0283,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0284,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0285,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0286,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0287,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0288,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0289,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0290,oscc,available,oscc,agrees,public_ndb_wsi_0156,public_ndb_wsi_0156
p0291,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0292,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0293,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0294,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0295,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0296,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0297,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0298,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0299,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0300,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0301,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0302,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0303,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0304,oscc,available,oscc,agrees,public_ndb_wsi_0157,public_ndb_wsi_0157
p0305,oscc,available,oscc,agrees,public_ndb_wsi_0048,public_ndb_wsi_0048
p0306,oscc,available,oscc,agrees,public_ndb_wsi_0048,public_ndb_wsi_0048
p0307,oscc,available,oscc,agrees,public_ndb_wsi_0048,public_ndb_wsi_0048
p0308,oscc,available,oscc,agrees,public_ndb_wsi_0048,public_ndb_wsi_0048
p0309,oscc,available,oscc,agrees,public_ndb_wsi_0048,public_ndb_wsi_0048
p0310,oscc,available,oscc,agrees,public_ndb_wsi_0049,public_ndb_wsi_0049
p0311,oscc,available,oscc,agrees,public_ndb_wsi_0049,public_ndb_wsi_0049
p0312,oscc,available,oscc,agrees,public_ndb_wsi_0049,public_ndb_wsi_0049
p0313,oscc,available,oscc,agrees,sab_only_wsi_0067,sab_only_wsi_0067
p0314,oscc,available,oscc,agrees,sab_only_wsi_0067,sab_only_wsi_0067
p0315,oscc,available,oscc,agrees,sab_only_wsi_0067,sab_only_wsi_0067
